[2022-09-02 08:49:20,680][conftest.py 37][INFO]: 软件成功启动
[2022-09-02 10:12:34,564][conftest.py 49][INFO]: 软件已退出
[2022-09-02 10:12:42,719][send_mail.py 28][INFO]: 开始发送测试报告
[2022-09-02 10:12:42,727][send_mail.py 51][INFO]: 报告附件添加成功
[2022-09-02 10:12:43,662][send_mail.py 71][INFO]: 测试报告发送成功
[2022-09-02 10:17:07,792][conftest.py 38][INFO]: 软件成功启动
[2022-09-02 10:17:13,405][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-02 10:17:19,580][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-02 10:17:19,733][conftest.py 49][INFO]: 软件已退出
[2022-09-02 10:17:27,899][send_mail.py 28][INFO]: 开始发送测试报告
[2022-09-02 10:17:27,904][send_mail.py 51][INFO]: 报告附件添加成功
[2022-09-02 10:17:29,912][send_mail.py 71][INFO]: 测试报告发送成功
[2022-09-02 10:20:29,795][conftest.py 38][INFO]: 软件成功启动
[2022-09-02 10:20:35,426][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-02 10:20:41,632][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-02 10:20:41,780][conftest.py 49][INFO]: 软件已退出
[2022-09-02 10:21:57,765][conftest.py 38][INFO]: 软件成功启动
[2022-09-02 10:22:03,443][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-02 10:22:09,613][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-02 10:22:09,768][conftest.py 49][INFO]: 软件已退出
[2022-09-02 10:26:37,139][send_mail.py 28][INFO]: 开始发送测试报告
[2022-09-02 10:26:37,140][send_mail.py 51][INFO]: 报告附件添加成功
[2022-09-02 10:26:37,569][send_mail.py 71][INFO]: 测试报告发送成功
[2022-09-02 10:27:26,953][conftest.py 38][INFO]: 软件成功启动
[2022-09-02 10:27:32,590][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-02 10:27:38,768][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-02 10:27:38,920][conftest.py 49][INFO]: 软件已退出
[2022-09-02 10:27:47,151][send_mail.py 28][INFO]: 开始发送测试报告
[2022-09-02 10:27:47,152][send_mail.py 51][INFO]: 报告附件添加成功
[2022-09-02 10:27:47,951][send_mail.py 71][INFO]: 测试报告发送成功
