[2022-09-01 08:51:46,512][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 10:53:12,865][conftest.py 48][INFO]: 软件已退出
[2022-09-01 11:20:45,383][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 11:20:50,927][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 11:20:57,132][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 11:20:57,271][conftest.py 48][INFO]: 软件已退出
[2022-09-01 11:27:23,539][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 11:27:29,287][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 11:27:35,407][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 11:27:35,537][conftest.py 48][INFO]: 软件已退出
[2022-09-01 14:25:43,792][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 14:25:49,480][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 14:25:55,602][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 14:25:55,743][conftest.py 48][INFO]: 软件已退出
[2022-09-01 14:27:30,192][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 14:27:35,819][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 14:27:41,947][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 14:27:42,081][conftest.py 48][INFO]: 软件已退出
[2022-09-01 14:28:57,388][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 14:29:03,069][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 14:29:09,188][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 14:29:09,323][conftest.py 48][INFO]: 软件已退出
[2022-09-01 14:44:36,234][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 14:44:41,773][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 14:44:47,881][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 14:44:48,014][conftest.py 48][INFO]: 软件已退出
[2022-09-01 14:53:37,537][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 14:53:43,311][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 14:53:49,432][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 14:53:49,567][conftest.py 48][INFO]: 软件已退出
[2022-09-01 15:29:45,818][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 15:29:51,450][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 15:29:57,587][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 15:29:57,731][conftest.py 48][INFO]: 软件已退出
[2022-09-01 15:34:39,301][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 15:34:44,929][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 15:34:51,036][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 15:34:51,171][conftest.py 48][INFO]: 软件已退出
[2022-09-01 15:35:47,308][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 15:35:53,053][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 15:35:59,156][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 15:35:59,289][conftest.py 48][INFO]: 软件已退出
[2022-09-01 15:53:15,172][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 15:53:20,693][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 15:53:26,811][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 15:53:26,947][conftest.py 48][INFO]: 软件已退出
[2022-09-01 15:53:35,082][send_mail.py 28][INFO]: 开始发送测试报告
[2022-09-01 15:53:35,085][send_mail.py 51][INFO]: 报告附件添加成功
[2022-09-01 15:53:36,228][send_mail.py 71][INFO]: 测试报告发送成功
[2022-09-01 16:00:29,155][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 16:00:34,654][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 16:00:40,773][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 16:00:40,919][conftest.py 48][INFO]: 软件已退出
[2022-09-01 16:00:49,069][send_mail.py 28][INFO]: 开始发送测试报告
[2022-09-01 16:00:49,073][send_mail.py 51][INFO]: 报告附件添加成功
[2022-09-01 16:00:57,867][send_mail.py 71][INFO]: 测试报告发送成功
[2022-09-01 17:09:50,285][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 17:09:56,148][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 17:10:02,267][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 17:10:02,439][conftest.py 48][INFO]: 软件已退出
[2022-09-01 17:10:10,672][send_mail.py 28][INFO]: 开始发送测试报告
[2022-09-01 17:10:10,676][send_mail.py 51][INFO]: 报告附件添加成功
[2022-09-01 17:10:13,108][send_mail.py 71][INFO]: 测试报告发送成功
